mlsfc,fclt_name,sgnr_nm,legalemd_nm
공공도서관,서울특별시교육청강남도서관,강남구,삼성동
공공도서관,서울특별시교육청개포도서관,강남구,개포동
공공도서관,서울특별시교육청강동도서관,강동구,길동
공공도서관,서울특별시교육청고덕평생학습관,강동구,고덕동
공공도서관,서울특별시교육청강서도서관,강서구,등촌동
공공도서관,서울특별시교육청고척도서관,구로구,고척동
공공도서관,서울특별시교육청구로도서관,구로구,구로동
공공도서관,서울특별시교육청노원평생학습관,노원구,중계동
공공도서관,서울특별시교육청도봉도서관,도봉구,쌍문동
공공도서관,서울특별시교육청동대문도서관,동대문구,신설동
공공도서관,서울특별시교육청동작도서관,동작구,노량진동
공공도서관,서울특별시교육청마포평생학습관,마포구,아현동
공공도서관,서울특별시교육청마포평생학습관 아현분관,마포구,아현동
공공도서관,서울특별시교육청서대문도서관,서대문구,현저동
공공도서관,서울특별시교육청송파도서관,송파구,오금동
공공도서관,서울특별시교육청양천도서관,양천구,목동
공공도서관,서울특별시교육청영등포평생학습관,영등포구,당산동
공공도서관,서울특별시교육청남산도서관,용산구,후암동
공공도서관,서울특별시교육청용산도서관,용산구,후암동
공공도서관,서울특별시교육청어린이도서관,종로구,사직동
공공도서관,서울특별시교육청정독도서관,종로구,화동
공공도서관,서울특별시교육청종로도서관,종로구,사직동
공공도서관,명성교회도서관,강동구,명일동
공공도서관,가락몰도서관,송파구,가락동
공공도서관,지샘터 올림픽공원도서관,송파구,방이동
공공도서관,4.19 혁명기념 도서관,종로구,평동
공공도서관,한국학생도서관,중구,묵정동
공공도서관,강남 역삼 푸른솔 도서관,강남구,역삼동
공공도서관,강남구립못골도서관,강남구,자곡동
공공도서관,논현도서관,강남구,논현동
공공도서관,대치도서관,강남구,대치동
공공도서관,도곡정보문화도서관,강남구,도곡동
공공도서관,못골한옥어린이도서관,강남구,자곡동
공공도서관,역삼도서관,강남구,역삼동
공공도서관,정다운도서관,강남구,심곡동
공공도서관,즐거운도서관,강남구,대치동
공공도서관,청담도서관,강남구,청담동
공공도서관,행복한도서관,강남구,대치동
공공도서관,강동구립강일도서관,강동구,강일동
공공도서관,강동구립성내도서관,강동구,성내동
공공도서관,강동구립암사도서관,강동구,암사동
공공도서관,강동구립천호도서관,강동구,천호동
공공도서관,강동구립해공도서관,강동구,천호동
공공도서관,강북문화정보도서관,강북구,번동
공공도서관,강북청소년문화정보도서관,강북구,미아동
공공도서관,미아문화정보도서관,강북구,미아동
공공도서관,삼각산어린이도서관,강북구,미아동
공공도서관,솔샘문화정보도서관,강북구,미아동
공공도서관,송중문화정보도서관,강북구,미아동
공공도서관,수유문화정보도서관,강북구,수유동
공공도서관,강서구립 곰달래도서관,강서구,화곡동
공공도서관,강서구립 등빛도서관,강서구,등촌동
공공도서관,강서구립가양도서관,강서구,화곡동
공공도서관,강서구립우장산숲속도서관,강서구,화곡동
공공도서관,강서길꽃어린이도서관,강서구,방화동
공공도서관,강서꿈꾸는어린이도서관,강서구,염창동
공공도서관,강서영어도서관,강서구,화곡동
공공도서관,강서푸른들청소년도서관,강서구,화곡동
공공도서관,글빛정보도서관,관악구,봉천동
공공도서관,성현동작은도서관,관악구,봉천동
공공도서관,은천동작은도서관,관악구,봉천동
공공도서관,조원도서관,관악구,신림동
공공도서관,광진정보도서관,광진구,광장동
공공도서관,구의제3동도서관,광진구,구의동
공공도서관,자양제4동도서관,광진구,자양동
공공도서관,중곡문화체육센터도서관,광진구,중곡동
공공도서관,개봉도서관,구로구,개봉동
공공도서관,개봉어린이도서관,구로구,개봉동
공공도서관,구로구립 온누리도서관,구로구,구로동
공공도서관,구로꿈나무도서관,구로구,구로동
공공도서관,궁동어린이도서관,구로구,궁동
공공도서관,글마루한옥어린이도서관,구로구,개봉동
공공도서관,꿈마을 도서관,구로구,구로동
공공도서관,하늘도서관,구로구,구로동
공공도서관,금천구립가산도서관,금천구,가산동
공공도서관,금천구립금나래도서관,금천구,시흥동
공공도서관,금천구립독산도서관,금천구,독산동
공공도서관,금천구립시흥도서관,금천구,시흥동
공공도서관,공릉행복발전소,노원구,공릉동
공공도서관,노원어린이도서관,노원구,중계동
공공도서관,노원정보도서관,노원구,상계동
공공도서관,불암도서관,노원구,중계동
공공도서관,상계문화정보도서관,노원구,상계동
공공도서관,월계문화정보도서관,노원구,월계동
공공도서관,월계어린이도서관,노원구,월계동
공공도서관,한내지혜의 숲 도서관,노원구,월계동
공공도서관,향기나무도서관,노원구,중계동
공공도서관,화랑도서관,노원구,공릉동
공공도서관,도봉기적의도서관,도봉구,도봉동
공공도서관,도봉문화정보도서관,도봉구,창동
공공도서관,도봉아이나라도서관,도봉구,창동
공공도서관,둘리도서관,도봉구,쌍문동
공공도서관,학마을도서관,도봉구,방학동
공공도서관,동대문구 답십리 도서관,동대문구,답십리동
공공도서관,동대문구정보화도서관,동대문구,청량리동
공공도서관,휘경어린이도서관,동대문구,휘경동
공공도서관,대방어린이도서관,동작구,대방동
공공도서관,동작상도국주도서관,동작구,상도1동
공공도서관,동작어린이도서관,동작구,노량진동
공공도서관,사당솔밭도서관,동작구,사당동
공공도서관,약수도서관,동작구,상도동
공공도서관,마포구립서강도서관,마포구,창전동
공공도서관,마포구립하늘도서관,마포구,성산동
공공도서관,마포중앙도서관,마포구,성산동
공공도서관,마포푸르메어린이도서관,마포구,상암동
공공도서관,서대문구립이진아기념도서관,서대문구,현저동
공공도서관,방배도서관,서초구,방배동
공공도서관,서이도서관,서초구,서초동
공공도서관,서초구립내곡도서관,서초구,신원동
공공도서관,서초구립반포도서관,서초구,반포동
공공도서관,서초그림책도서관,서초구,서초동
공공도서관,잠원도서관,서초구,잠원동
공공도서관,성동구립금호도서관,성동구,금호동1가
공공도서관,성동구립도서관,성동구,행당동
공공도서관,성동구립무지개도서관,성동구,행당동
공공도서관,성동구립성수도서관,성동구,성수동1가
공공도서관,성동구립용답도서관,성동구,용답동
공공도서관,성동구립청계도서관,성동구,상왕십리동
공공도서관,달빛마루도서관,성북구,하월곡동
공공도서관,석관동미리내도서관,성북구,용답동
공공도서관,성북구립 청수도서관,성북구,정릉동
공공도서관,성북정보도서관,성북구,상월곡동
공공도서관,아리랑도서관,성북구,돈암동
공공도서관,아리랑어린이도서관,성북구,돈암동
공공도서관,월곡꿈그림도서관,성북구,하월곡동
공공도서관,정릉도서관,성북구,정릉동
공공도서관,종암동새날도서관,성북구,종암동
공공도서관,해오름도서관,성북구,풍덕천동
공공도서관,거마도서관,송파구,거여동
공공도서관,돌마리도서관,송파구,석촌동
공공도서관,소나무언덕2호작은도서관,송파구,잠실동
공공도서관,소나무언덕3호 작은도서관,송파구,마천동
공공도서관,소나무언덕잠실본동작은도서관,송파구,잠실동
공공도서관,송파글마루도서관,송파구,장지동
공공도서관,송파어린이도서관,송파구,잠실동
공공도서관,송파어린이영어작은도서관,송파구,잠실동
공공도서관,송파위례도서관,송파구,장지동
공공도서관,갈산도서관,양천구,갈산동
공공도서관,미감도서관,양천구,목동
공공도서관,방아다리문학도서관,양천구,신월동
공공도서관,양천구 영어특성화도서관,양천구,신정동
공공도서관,대림정보문화도서관,영등포구,대림동
공공도서관,문래정보문화도서관,영등포구,문래동3가
공공도서관,선유정보문화도서관,영등포구,양평동3가
공공도서관,용산 꿈나무도서관,용산구,원효로1가
공공도서관,청파도서관,용산구,서계동
공공도서관,구립구산동도서관마을,은평구,구산동
공공도서관,구립은평뉴타운도서관,은평구,진관동
공공도서관,구립증산정보도서관,은평구,증산동
공공도서관,내를건너서숲으로도서관,은평구,신사동
공공도서관,상림마을작은도서관,은평구,진관동
공공도서관,은평구립도서관,은평구,불광동
공공도서관,응암정보도서관,은평구,응암동
공공도서관,아름꿈 도서관,종로구,숭인동
공공도서관,어린이청소년국학도서관,종로구,명륜3가
공공도서관,청운문학도서관,종로구,청운동
공공도서관,가온도서관,중구,신당동
공공도서관,남산타운문화체육센터 어린이도서관,중구,신당동
공공도서관,서울도서관,중구,태평로1가
공공도서관,어울림도서관,중구,신당동
공공도서관,양원숲속도서관,중랑구,망우동
공공도서관,중랑구립면목정보도서관,중랑구,면목동
공공도서관,중랑구립정보도서관,중랑구,묵동
공공도서관,중랑숲어린이도서관,중랑구,망우동
공공도서관,부산광역시립서동도서관,금정구,서동
공공도서관,부산광역시립중앙도서관수정분관,동구,수정동
공공도서관,부산광역시립명장도서관,동래구,명장동
공공도서관,부산광역시립부전도서관,부산진구,부전동
공공도서관,부산광역시립시민도서관,부산진구,초읍동
공공도서관,부산광역시립중앙도서관분관부산영어도서관,부산진구,부전동
공공도서관,부산광역시립구포도서관,북구,구포동
공공도서관,부산광역시립사하도서관,사하구,괴정동
공공도서관,부산광역시립구덕도서관,서구,서대신동3가
공공도서관,부산광역시립연산도서관,연제구,연산동
공공도서관,부산광역시립중앙도서관,중구,보수동1가
공공도서관,부산광역시립반송도서관,해운대구,반송동
공공도서관,부산광역시립해운대도서관,해운대구,좌동
공공도서관,맨발동무도서관,북구,화명동
공공도서관,느티나무도서관,해운대구,동천동
공공도서관,강서기적의도서관,강서구,신도림동
공공도서관,부산강서도서관,강서구,대저2동
공공도서관,금정도서관,금정구,청룡동
공공도서관,기장도서관,기장군,기장읍 동부리
공공도서관,기장디지털도서관,기장군,기장읍 신천리
공공도서관,대라다목적도서관,기장군,기장읍 대라리
공공도서관,정관도서관,기장군,정관읍 방곡리
공공도서관,정관어린이도서관,기장군,정관읍 매학리
공공도서관,남구도서관,남구,대연동
공공도서관,부산광역시 남구 분포도서관,남구,용호동
